parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-1021,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1010,2377730,2.3777300000000006,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-1021,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1010,2377730,2.3777300000000006,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-1021,AllenCCF-Ontology-2017-993,AllenCCF-Ontology-2017-STRU,1010,2377730,2.3777300000000006,#1F9D5A,31,157,90,Secondary motor area,MOs,structure,3,3,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-1021,AllenCCF-Ontology-2017-1021,AllenCCF-Ontology-2017-SUBS,1010,2377730,2.3777300000000006,#1F9D5A,31,157,90,"Secondary motor area, layer 6a",MOs6a,substructure,4,14,AllenCCF-Ontology-2017-993
AllenCCF-Annotation-2020-1085,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1074,73586,0.07358600000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-1085,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1074,73586,0.07358600000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-1085,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1074,73586,0.07358600000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-1085,AllenCCF-Ontology-2017-993,AllenCCF-Ontology-2017-STRU,1074,73586,0.07358600000000001,#1F9D5A,31,157,90,Secondary motor area,MOs,structure,3,3,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-1085,AllenCCF-Ontology-2017-1085,AllenCCF-Ontology-2017-SUBS,1074,73586,0.07358600000000001,#1F9D5A,31,157,90,"Secondary motor area, layer 6b",MOs6b,substructure,4,15,AllenCCF-Ontology-2017-993
AllenCCF-Annotation-2020-558,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,548,404326,0.4043260000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-558,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,548,404326,0.4043260000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-558,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,548,404326,0.4043260000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
